# Time(days) Flux(e/s)
3313.450818 0.805824
3313.453133 0.796881
3313.455447 0.800848
3313.457762 0.795948
3313.460077 0.797827
3313.462392 0.791751
3313.464707 0.791873
3313.467021 0.794063
3313.469336 0.795235
3313.471651 0.802099
3313.473966 0.796476
3313.476281 0.815577
3313.478595 0.835682
3313.480910 0.844239
3313.483225 0.858970
3313.485540 0.879834
3313.487855 0.896982
3313.490169 0.924428
3313.492484 0.941464
3313.494799 0.948879
3313.497114 0.972269
3313.499429 0.987574
3313.501743 1.009728
3313.504058 1.017848
3313.506373 1.037096
3313.508688 1.058813
3313.511003 1.054096
3313.513317 1.068976
3313.515632 1.084355
3313.517947 1.090728
3313.520262 1.099784
3313.522577 1.096188
3313.524891 1.113143
3313.527206 1.123217
3313.529521 1.122412
3313.531836 1.125738
3313.534151 1.134914
3313.536465 1.137956
3313.538780 1.140844
3313.541095 1.142614
3313.543410 1.140340
3313.545725 1.143851
3313.548039 1.138604
3313.550354 1.132100
3313.552669 1.125465
3313.554984 1.126094
3313.557299 1.116290
3313.559614 1.107109
3313.561928 1.115612
3313.564243 1.102573
3313.566558 1.090071
3313.568873 1.088710
3313.571188 1.068922
3313.573502 1.060834
3313.575817 1.060112
3313.578132 1.038088
3313.580447 1.036988
3313.582762 1.023696
3313.585076 1.009192
3313.587391 1.000055
3313.589706 0.978218
3313.592021 0.964419
3313.594336 0.957515
3313.596650 0.924847
3313.598965 0.900928
3313.601280 0.876824
3313.603595 0.859773
3313.605910 0.833316
3313.608224 0.816576
3313.610539 0.804369
3313.612854 0.803476
3313.615169 0.805840
3313.617484 0.799189
3313.619798 0.786694
3313.622113 0.795816
3313.624428 0.800861
3313.626743 0.781544
3313.629058 0.792914
3313.631372 0.789761
3313.633687 0.788095
3313.636002 0.791998
3313.638317 0.796991
3313.640632 0.805260
3313.642946 0.789798
3313.645261 0.791761
3313.647576 0.803836
3313.649891 0.821798
3313.652206 0.853713
3313.654520 0.865629
3313.656835 0.891970
3313.659150 0.915362
3313.661465 0.931070
3313.663780 0.957878
3313.666094 0.981741
3313.668409 0.993571
3313.670724 1.009167
3313.673039 1.028626
3313.675354 1.032819
3313.677668 1.051470
3313.679983 1.056008
3313.682298 1.074507
3313.684613 1.084554
3313.686928 1.090698
3313.689242 1.098786
3313.691557 1.110375
3313.693872 1.123110
3313.696187 1.134004
3313.698502 1.134316
3313.700816 1.132946
3313.703131 1.144678
3313.705446 1.154375
3313.707761 1.158098
3313.710076 1.158956
3313.712390 1.156320
3313.714705 1.168349
3313.717020 1.166575
3313.719335 1.161976
3313.721650 1.152452
3313.723965 1.160115
3313.726279 1.146698
3313.728594 1.147743
3313.730909 1.141441
3313.733224 1.135765
3313.735539 1.129542
3313.737853 1.115470
3313.740168 1.111669
3313.742483 1.095480
3313.744798 1.090260
3313.747113 1.068613
3313.749427 1.063110
3313.751742 1.051975
3313.754057 1.035157
3313.756372 1.020188
3313.758687 1.002690
3313.761001 0.988048
3313.763316 0.957014
3313.765631 0.937773
3313.767946 0.927188
3313.770261 0.903785
3313.772575 0.893838
3313.774890 0.878477
3313.777205 0.845118
3313.779520 0.828684
3313.781835 0.815071
3313.784149 0.823451
3313.786464 0.802083
3313.788779 0.806949
3313.791094 0.792080
3313.793409 0.798131
3313.795723 0.808855
3313.798038 0.793945
3313.800353 0.801724
3313.802668 0.794822
3313.804983 0.793921
3313.807297 0.806984
3313.809612 0.820167
3313.811927 0.803772
3313.814242 0.807149
3313.816557 0.818662
3313.818871 0.829781
3313.821186 0.857223
3313.823501 0.884032
3313.825816 0.900091
3313.828131 0.925187
3313.830445 0.929631
3313.832760 0.948640
3313.835075 0.976097
3313.837390 0.991935
3313.839705 1.008563
3313.842019 1.020754
3313.844334 1.026569
3313.846649 1.044377
3313.848964 1.062217
3313.851279 1.060276
3313.853593 1.087768
3313.855908 1.082697
3313.858223 1.097761
3313.860538 1.106521
3313.862853 1.113154
3313.865167 1.117287
3313.867482 1.117561
3313.869797 1.128552
3313.872112 1.130773
3313.874427 1.139279
3313.876741 1.136898
3313.879056 1.141900
3313.881371 1.140450
3313.883686 1.140579
3313.886001 1.144948
3313.888315 1.130162
3313.890630 1.143560
3313.892945 1.123919
3313.895260 1.114526
3313.897575 1.117683
3313.899889 1.105488
3313.902204 1.105112
3313.904519 1.093341
3313.906834 1.087963
3313.909149 1.066795
3313.911464 1.071214
3313.913778 1.065640
3313.916093 1.050794
3313.918408 1.039150
3313.920723 1.016683
3313.923038 1.006035
3313.925352 1.000328
3313.927667 0.982855
3313.929982 0.967690
3313.932297 0.952817
3313.934612 0.931416
3313.936926 0.914452
3313.939241 0.895611
3313.941556 0.871875
3313.943871 0.844963
3313.946186 0.831794
3313.948500 0.805122
3313.950815 0.788631
3313.953130 0.798551
3313.955445 0.799275
3313.957760 0.793742
3313.960074 0.795741
3313.962389 0.785330
3313.964704 0.800644
3313.967019 0.799684
3313.969334 0.799775
3313.971648 0.788815
3313.973963 0.790280
3313.976278 0.786682
3313.978593 0.793111
3313.980908 0.786218
3313.983222 0.792619
3313.985537 0.790929
3313.987852 0.811462
3313.990167 0.821751
3313.992482 0.851549
3313.994796 0.877446
3313.997111 0.898001
3313.999426 0.923365
3314.001741 0.937583
3314.004056 0.952614
3314.006370 0.981382
3314.008685 1.000298
3314.011000 0.998076
3314.013315 1.006210
3314.015630 1.043239
3314.017944 1.050667
3314.020259 1.067576
3314.022574 1.069506
3314.024889 1.074653
3314.027204 1.093791
3314.029518 1.101498
3314.031833 1.106143
3314.034148 1.112904
3314.036463 1.124687
3314.038778 1.139140
3314.041092 1.137404
3314.043407 1.146460
3314.045722 1.159616
3314.048037 1.152202
3314.050352 1.161441
3314.052666 1.162558
3314.054981 1.148980
3314.057296 1.161120
3314.059611 1.162008
3314.061926 1.157659
3314.064240 1.143722
3314.066555 1.149838
3314.068870 1.141995
3314.071185 1.134581
3314.073500 1.123276
3314.075814 1.124151
3314.078129 1.126157
3314.080444 1.091622
3314.082759 1.088079
3314.085074 1.069264
3314.087388 1.066247
3314.089703 1.047042
3314.092018 1.033077
3314.094333 1.025294
3314.096648 1.014614
3314.098962 0.987319
3314.101277 0.982568
3314.103592 0.953740
3314.105907 0.939043
3314.108222 0.908100
3314.110536 0.899282
3314.112851 0.869544
3314.115166 0.851981
3314.117481 0.829280
3314.119796 0.812773
3314.122111 0.810138
3314.124425 0.810817
3314.126740 0.805982
3314.129055 0.805364
3314.131370 0.800047
3314.133685 0.800331
3314.135999 0.795681
3314.138314 0.796067
3314.140629 0.797389
3314.142944 0.791295
3314.145259 0.797494
3314.147573 0.792346
3314.149888 0.809704
3314.152203 0.809546
3314.154518 0.806118
3314.156833 0.827576
3314.159147 0.843302
3314.161462 0.860060
3314.163777 0.883127
3314.166092 0.898968
3314.168407 0.916577
3314.170721 0.937610
3314.173036 0.957871
3314.175351 0.975926
3314.177666 0.989628
3314.179981 0.993332
3314.182295 1.014057
3314.184610 1.028056
3314.186925 1.045861
3314.189240 1.054564
3314.191555 1.069182
3314.193869 1.065490
3314.196184 1.088993
3314.198499 1.099145
3314.200814 1.101643
3314.203129 1.103189
3314.205443 1.114274
3314.207758 1.134626
3314.210073 1.127288
3314.212388 1.128906
3314.214703 1.122805
3314.217017 1.137526
3314.219332 1.121804
3314.221647 1.133608
3314.223962 1.137711
3314.226277 1.121037
3314.228591 1.134884
3314.230906 1.131942
3314.233221 1.114613
3314.235536 1.114482
3314.237851 1.105533
3314.240165 1.102066
3314.242480 1.097148
3314.244795 1.080821
3314.247110 1.072879
3314.249425 1.069356
3314.251739 1.068092
3314.254054 1.058182
3314.256369 1.046719
3314.258684 1.026743
3314.260999 1.022438
3314.263313 1.014664
3314.265628 0.994570
3314.267943 0.977402
3314.270258 0.967321
3314.272573 0.950346
3314.274887 0.924494
3314.277202 0.901517
3314.279517 0.881056
3314.281832 0.854127
3314.284147 0.835943
3314.286461 0.824772
3314.288776 0.797861
3314.291091 0.793085
3314.293406 0.800334
3314.295721 0.788684
3314.298035 0.792346
3314.300350 0.785715
3314.302665 0.797423
3314.304980 0.793567
3314.307295 0.793787
3314.309609 0.790589
3314.311924 0.786045
3314.314239 0.786171
3314.316554 0.789330
